N°,Gestionnaire,Nom de l'OPC,Type d'OPC,Catégorie,Date,Valeur Liquidative,Actif net
5,AFRICA ASSET MANAGEMENT, SECURITAS,FCP,Obligataire (OLMT),2023-03-31,7304.1648,1252820444
1,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),BRM DYNAMIQUE,FCP,Diversifié,2023-03-31,14039.14,433135564
2,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT), BRM OBLIGATAIRE,FCP,Diversifié,2023-03-31,16106.13,515138511
3,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT), SDE,FCPE,Diversifié,2023-03-31,2802.69,868185189
1,CORIS ASSET MANAGEMENT,CORIS ACTIONS ,FCP,Actions ,2023-03-31,6607.6159,832282078
2,CORIS ASSET MANAGEMENT,ASSURANCES,FCP,Diversifié,2023-03-31,6998.3837,976421492
3,CORIS ASSET MANAGEMENT,CORIS PERFOMANCE,FCP,Monétaire (OCT),2023-03-31,5462.5573,636464396
1,ATTIJARI ASSET MANAGEMENT,ATTIJARI OBLIG,SICAV,Obligataire (OLMT),2023-03-31,13313.14,20621988954.03
2,ATTIJARI ASSET MANAGEMENT,ATTIJARI LIQUIDITE,FCP,Monétaire (OCT),2023-03-31,13357.96,1923279302.45
3,ATTIJARI ASSET MANAGEMENT,ATTIJARI HORIZON,FCP,Obligataire (OLMT),2023-03-31,14795.6,6981761353.14
4,ATTIJARI ASSET MANAGEMENT,ATTIJARI ACTIONS,FCP,Actions ,2023-03-31,12717.49,200529374.32
5,ATTIJARI ASSET MANAGEMENT,ATTIJARI DIVERSIFIE,FCP,Diversifié,2023-03-31,14730.82,221433751.84
6,ATTIJARI ASSET MANAGEMENT,ATTIJARI INVEST,FCP,Obligataire (OLMT),2023-03-31,13960.52,23453164145.9
7,ATTIJARI ASSET MANAGEMENT,ATTIJARI PATRIMOINE,FCP,Obligataire (OLMT),2023-03-31,14247.58,66161770995.63
8,ATTIJARI ASSET MANAGEMENT,CRBC PROSPERITE,FCP,Obligataire (OLMT),2023-03-31,10571.66,26104599478.73
9,ATTIJARI ASSET MANAGEMENT,WAFA ASSURANCE UEMOA,FCP,Obligataire (OLMT),2023-03-31,,
1,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE CROISSANCE,FCP,Diversifié,2023-03-31,5022.2893,15930748081.9999
2,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SECURITE,FCP,Obligataire (OLMT),2023-03-31,6540.9984,79335373953.9992
3,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SERENITE,FCP,Obligataire (OLMT),2023-03-31,6185.9292,57047313154.9999
4,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE LIQUIDITE ,FCP,Monétaire (OCT),2023-03-31,5933.6656,2343021672
5,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE HORIZON ,FCP,Diversifié,2023-03-31,6854.3492,265506629
6,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE ACTION,FCP,Actions ,2023-03-31,6905.7188,139096551
7,ATLANTIC ASSET MANAGEMENT,FCP IFC ATLANTIQUE,FCP,Obligataire (OLMT),2023-03-31,1175358.7144,7222140020
8,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE PRESTIGE,FCP,Obligataire (OLMT),2023-03-31,,
9,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SECURITE PLUS,FCP,Obligataire (OLMT),2023-03-31,,
10,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE OBLIGATIONS,FCP,Obligataire (OLMT),2023-03-31,,
1,SGO MALI FINANCES,NYESIGUI,FCP,Diversifié,2023-03-31,12073.6145,587076508
2,SGO MALI FINANCES,ORANGE MALI,FCPE,Diversifié,2023-03-31,29148.2448,3536443081
3,SGO MALI FINANCES,TOUNKARANKE,FCP,Obligataire (OLMT),2023-03-31,113697.0909,835778925
1,NSIA ASSET MANAGEMENT,NSIA FONDS DIVERSIFIE,FCP,Diversifié,2023-03-31,5581.8783672023,10701596733
2,NSIA ASSET MANAGEMENT,AURORE OPPORTUNITES,FCP,Actions ,2023-03-31,5814.9357452727,1416000689
3,NSIA ASSET MANAGEMENT,EVOLUTIS,FCPE,Diversifié,2023-03-31,4114.4470873118,816436484
4,NSIA ASSET MANAGEMENT,AURORE SECURITE,FCP,Obligataire (OLMT),2023-03-31,5390.890122666,11239194078
5,NSIA ASSET MANAGEMENT,NSIA ASSURANCE OPTIMUM,FCP,Diversifié,2023-03-31,985704.231220418,3508224917
1,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM ACTIONS,FCP,Actions ,2023-03-31,12230.7178540032,544939332
2,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE EQUILIBRE,FCP,Diversifié,2023-03-31,13442.4668948738,845143816.593394
3,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE OBLIGATIONS,FCP,Diversifié,2023-03-31,12738.0125876251,1918642642.81335
1,SGA2E,SODECI,FCPE,Diversifié,2023-03-31,9188.6905,18757387878
2,SGA2E,CIE,FCPE,Diversifié,2023-03-31,7595.1755788934,38001855429
1,OPTI ASSET MANAGEMENT,FCP1 OPTI PLACEMENT,FCP,Actions ,2023-03-31,15778.04,708368312.1603
2,OPTI ASSET MANAGEMENT,FCP2 OPTI REVENU,FCP,Obligataire (OLMT),2023-03-31,8344.46,9180201467.7718
3,OPTI ASSET MANAGEMENT,FCP3 OPTI CAPITAL,FCP,Diversifié,2023-03-31,19339.27,1152674868.3846
1,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL GARANTI,FCP,Diversifié,2023-03-31,13933.2154,1000516329
2,ENKO CAPITAL WEST AFRICA,PATRIMOINE,FCP,Obligataire (OLMT),2023-03-31,11466.8016,25429639141
3,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL OBLIGATIONS,FCP,Obligataire (OLMT),2023-03-31,10532.0962,636054353
1,BOA CAPITAL CAM, BOA PREMIUM,FCP,Diversifié,2023-03-31,74221.44,158038356.773519
2,BOA CAPITAL CAM, BOA ACTIONS,FCP,Actions ,2023-03-31,11493.91,267310644.002761
3,BOA CAPITAL CAM, SAHAM PERFORMANCE,FCP,Actions ,2023-03-31,133242.111440667,331239889.041498
4,BOA CAPITAL CAM, BOA INVESTMENT,FCP,Obligataire (OLMT),2023-03-31,37067161.49,4750705920.43428
5,BOA CAPITAL CAM, GLOBAL INVESTORS,FCP,Diversifié,2023-03-31,28950.474963933,11043733854
6,BOA CAPITAL CAM, EMERGENCE,FCP,Diversifié,2023-03-31,7297.17921310197,26977689689.4646
7,BOA CAPITAL CAM, BOA SECURITE,FCP,Obligataire (OLMT),2023-03-31,109930.993763674,31393109170.9399
8,BOA CAPITAL CAM, BOA OBLIGATIONS,FCP,Obligataire (OLMT),2023-03-31,12374.75,48951824129.1526
9,BOA CAPITAL CAM,BOA RENDEMENT,FCP,Obligataire (OLMT),2023-03-31,34196789.16,46498718149.6646
1,BNI GESTION,OBLIG SECURITE,FCP,Obligataire (OLMT),2023-03-31,9753.64,113464064
2,BNI GESTION,KARIMA ETHIQUE,FCP,Diversifié,2023-03-31,1654.74,101430704
3,BNI GESTION,CNRA,FCPE,Diversifié,2023-03-31,3248.64,122830912
4,BNI GESTION,INITIATIVE SOLIDARITE,FCP,Diversifié,2023-03-31,4654.64,149921392
5,BNI GESTION,BNI RETRAITE,FCPE,Diversifié,2023-03-31,4122.48,277022436
6,BNI GESTION,SODEFOR COMPLEMENTAIRE RETRAITE,FCPE,Diversifié,2023-03-31,6700,556903780
7,BNI GESTION,CAPITAL CROISSANCE,FCP,Diversifié,2023-03-31,,
8,BNI GESTION,DYNAMIC SAVINGS ,FCP,Actions ,2023-03-31,,
1,CGF GESTION,FCP DIASPORA,FCP,Diversifié,2023-03-31,1150.84366594097,2646749834
2,CGF GESTION,FCP WALO,FCP,Actions ,2023-03-31,1165.47825756421,268248072
3,CGF GESTION,FCP DJOLOF,FCP,Obligataire (OLMT),2023-03-31,1160.05659728588,584151761
4,CGF GESTION,FCPE SINI GNESIGUI,FCP,Diversifié,2023-03-31,1499.8601277929,456796013
5,CGF GESTION,FCP ASSUR SENEGAL,FCP,Diversifié,2023-03-31,1201813.258,909368316
6,CGF GESTION,FCPE FORCE PAD,FCP,Diversifié,2023-03-31,1806.51628863503,1390972024
7,CGF GESTION,FCPE DP WORLD DAKAR,FCP,Diversifié,2023-03-31,1233.14115707518,1553001742
8,CGF GESTION,FCP ACTIONS PHARMACIE,FCP,Diversifié,2023-03-31,1015.72045082798,1368618302
9,CGF GESTION,FCP RENTE PERPETUELLE,FCP,Diversifié,2023-03-31,1097.21195862545,1756314853
10,CGF GESTION,FCP POSTEFINANCES HORIZON,FCP,Diversifié,2023-03-31,1868.45891609027,2711730824
11,CGF GESTION,FCP AL BARAKA,FCP,Actions ,2023-03-31,1134.16913629354,2602527362
12,CGF GESTION,FCP PLACEMENT AVANTAGE,FCP,Monétaire (OCT),2023-03-31,1545.1059580533,2521172127
13,CGF GESTION,FCP EXPAT,FCP,Obligataire (OLMT),2023-03-31,1130.8840264766,2210702682
14,CGF GESTION,FCP BNDE VALEURS,FCP,Actions ,2023-03-31,1156.41771502743,3805740543
15,CGF GESTION,FCP PLACEMENT CROISSANCE,FCP,Actions ,2023-03-31,1312.51522605815,3780968769
16,CGF GESTION,FCP IFC-BOAD,FCP,Obligataire (OLMT),2023-03-31,128044.120965133,6246398287
17,CGF GESTION,FCP CAPITAL RETRAITE,FCP,Diversifié,2023-03-31,1136.93642941946,5267509617
18,CGF GESTION,FCP AL BARAKA 2,FCP,Diversifié,2023-03-31,1165.70321580082,4851423409
19,CGF GESTION,FCPCR SONATEL,FCPE,Diversifié,2023-03-31,7102.68731019064,16589005634
20,CGF GESTION,FCP LIQUIDITE-OPTIMUM,FCP,Obligataire (OLMT),2023-03-31,12090.7410655795,10000871884
