isin;code;name;issuer;issuerType;country;sector;currency;nominalValue;totalIssued;outstanding;couponRate;couponFrequency;issueDate;maturityDate;firstCouponDate;rating;ratingAgency;callable;callDate;greenBond;description;amortizationType;Titre/Nominal
BF0000000745;TPBF.O4;TPBF 6.50% 2017-2027;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;1,22E+11;22878444375;6.50;2;31/07/2017;31/07/2027;31/01/2020;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,50% sur la periode 2017-2027, emise pour le financement budgetaire.;ACD;T
BF0000001271;TPBF.O8;TPBF 6,50% 2019-2027;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;1,25E+11;31250000000;6.50;2;08/10/2019;08/10/2027;08/04/2022;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,50% sur la periode 2019-2027, emise pour le financement budgetaire.;ACD;T
BF0000001362;TPBF.O9;TPBF 6,50% 2019 - 2027;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;75000000000;18750000000;6.50;2;08/10/2019;08/10/2027;08/04/2022;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,50% sur la periode 2019-2027, emise pour le financement budgetaire.;ACD;T
BJ0000002663;TPBJ.O10;TPBJ 6,15% 2025-2035;Etat du Bénin;Obligation d'Etat;BJ;Etat;XOF;10000;47997300000;47997300000;6.15;1;20/11/2025;20/11/2035;20/11/2028;B1;Moody's;false;;false;Obligation du Tresor Public du Benin au taux de 6,15% sur la periode 2025-2035, emise pour le financement budgetaire.;ACD;T
BJ0000001418;TPBJ.O3;TPBJ 6,50% 2020-2028;Etat du Bénin;Obligation d'Etat;BJ;Etat;XOF;10000;1,10E+11;55000000000;6.50;1;25/08/2020;25/08/2028;25/08/2023;B1;Moody's;false;;false;Obligation du Tresor Public du Benin au taux de 6,50% sur la periode 2020-2028, emise pour le financement budgetaire.;AC;T
BJ0000001665;TPBJ.O4;TPBJ 5,50 % 2022-2037;Etat du Bénin;Obligation d'Etat;BJ;Etat;XOF;10000;60252180000;44184932000;5.50;1;01/03/2022;01/03/2037;01/03/2023;B1;Moody's;false;;false;Obligation du Tresor Public du Benin au taux de 5,50% sur la periode 2022-2037, emise pour le financement budgetaire.;AC;T
BJ0000001673;TPBJ.O5;TPBJ 5,85 % 2022-2042;Etat du Bénin;Obligation d'Etat;BJ;Etat;XOF;10000;95137070000;84566284444.4444;5.85;1;01/03/2022;01/03/2042;01/03/2025;B1;Moody's;false;;false;Obligation du Tresor Public du Benin au taux de 5,85% sur la periode 2022-2042, emise pour le financement budgetaire.;ACD;T
BJ0000001764;TPBJ.O6;TPBJ 5,75% 2022-2037;Etat du Bénin;Obligation d'Etat;BJ;Etat;XOF;10000;1,90E+11;1,52E+11;5.75;1;28/07/2022;28/07/2037;28/07/2023;B1;Moody's;false;;false;Obligation du Tresor Public du Benin au taux de 5,75% sur la periode 2022-2037, emise pour le financement budgetaire.;ACD;T
BJ0000001947;TPBJ.O7;TPBJ 5,70% 2023-2030;Etat du Bénin;Obligation d'Etat;BJ;Etat;XOF;10000;77000000000;44000000000;5.70;1;13/03/2023;13/03/2030;13/03/2024;B1;Moody's;false;;false;Obligation du Tresor Public du Benin au taux de 5,70% sur la periode 2023-2030, emise pour le financement budgetaire.;AC;T
BJ0000001954;TPBJ.O8;TPBJ 6,20% 2023-2038;Etat du Bénin;Obligation d'Etat;BJ;Etat;XOF;10000;88000000000;70400000000;6.20;1;13/03/2023;13/03/2038;13/03/2024;B1;Moody's;false;;false;Obligation du Tresor Public du Benin au taux de 6,20% sur la periode 2023-2038, emise pour le financement budgetaire.;AC;T
BJ0000002655;TPBJ.O9;TPBJ 6,00% 2025-2032;Etat du Bénin;Obligation d'Etat;BJ;Etat;XOF;10000;93706740000;93706740000;6.00;1;20/11/2025;20/11/2032;20/11/2032;B1;Moody's;false;;false;Obligation du Tresor Public du Benin au taux de 6,00% sur la periode 2025-2032, emise pour le financement budgetaire.;ACD;T
CI0000002172;TPCI.O100;TPCI 5,85% 2025-2032;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,12E+11;1,12E+11;5.85;1;18/12/2025;18/12/2032;18/12/2028;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,85% sur la periode 2025-2032, emise pour le financement budgetaire.;ACD;T
CI0000001822;TPCI.O21;TPCI 6% 2016-2028;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,25E+11;25094920000;6.00;1;08/04/2016;08/04/2028;08/04/2019;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2016-2028, emise pour le financement budgetaire.;ACD;T
CI0000001889;TPCI.O22;TPCI 5.90% 2016 - 2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,60E+11;19974171250;5.90;1;15/06/2016;15/06/2026;15/06/2019;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2016-2026, emise pour le financement budgetaire.;ACD;T
CI0000002119;TPCI.O23;TPCI 5.90% 2016-2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,42E+11;20283020000;5.90;1;17/11/2016;17/11/2026;17/11/2020;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,90% sur la periode 2016-2026, emise pour le financement budgetaire.;ACD;T
CI0000002317;TPCI.O24;TPCI 6.25% 2017-2029;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,37E+11;41116827000;6.25;2;31/03/2017;31/03/2029;30/09/2019;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,25% sur la periode 2017-2029, emise pour le financement budgetaire.;ACD;T
CI0000002648;TPCI.O28;TPCI 6% 2018 - 2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,65E+11;27440095000;6.00;1;01/08/2018;01/08/2026;01/08/2021;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2018-2026, emise pour le financement budgetaire.;ACD;T
CI0000002663;TPCI.O29;TPCI 6% 2018-2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;1,30E+11;0;6.00;1;19/04/2018;19/04/2026;19/04/2021;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 6,00% sur la periode 2018-2026, emise pour le financement budgetaire.;ACD;T
CI0000002952;TPCI.O31;TPCI 5,75% 2019 - 2026;Etat de Côte d'Ivoire;Obligation d'Etat;CI;Etat;XOF;10000;78822000000;15764400000;5.75;1;20/06/2019;20/06/2026;20/06/2022;Ba2;Moody's;false;;false;Obligation du Tresor Public de Cote d'Ivoire au taux de 5,75% sur la periode 2019-2026, emise pour le financement budgetaire.;ACD;T
